sa2_code,sa2_name,state,avg_school_icsea,num_schools
101021007,Braidwood,NSW,1007.4,2
101021009,Queanbeyan,NSW,1028.3,14
101021012,Queanbeyan West - Jerrabomberra,NSW,1096.2,2
101021611,Queanbeyan Surrounds,NSW,1035.2,3
101031013,Bombala,NSW,943.4,4
101031014,Cooma,NSW,996.2,6
101031015,Cooma Surrounds,NSW,961.0,3
101031016,Jindabyne - Berridale,NSW,1049.1,4
101041018,Batemans Bay - South,NSW,920.7,5
101041020,Bega-Eden Hinterland,NSW,991.3,15
101041023,Eden,NSW,939.8,2
101041024,Eurobodalla Hinterland,NSW,890.0,1
101041025,Merimbula - Tura Beach,NSW,1014.5,4
101041026,Moruya - Tuross Head,NSW,993.3,6
101041027,Narooma - Bermagui,NSW,949.1,4
101051539,Goulburn,NSW,973.0,18
101051540,Goulburn Surrounds,NSW,977.3,11
101061541,Yass,NSW,1007.4,6
101061542,Yass Surrounds,NSW,1016.3,6
101061543,Young,NSW,961.4,9
101061544,Young Surrounds,NSW,953.8,7
102011028,Avoca Beach - Copacabana,NSW,1064.8,9
102011032,Gosford - Springfield,NSW,1041.8,34
102011039,Terrigal - North Avoca,NSW,1096.9,7
102011040,Umina - Booker Bay - Patonga,NSW,999.7,5
102011042,Woy Woy - Blackwall,NSW,1006.5,4
102021046,Budgewoi - Buff Point - Halekulani,NSW,921.9,5
102021048,Gorokan - Kanwal - Charmhaven,NSW,937.2,4
102021051,Ourimbah - Fountaindale,NSW,1054.9,2
102021053,The Entrance,NSW,987.2,13
102021056,Warnervale - Wadalba,NSW,990.5,26
103011061,Oberon,NSW,936.6,4
103011612,Bathurst - South,NSW,991.5,24
103021062,Condobolin,NSW,875.4,9
103021063,Cowra,NSW,916.5,7
103021064,Cowra Surrounds,NSW,955.3,5
103021065,Forbes,NSW,943.6,8
103021066,Grenfell,NSW,960.2,5
103021067,Parkes (NSW),NSW,937.1,6
103021068,Parkes Surrounds,NSW,857.9,5
103021069,West Wyalong,NSW,947.2,12
103031070,Lithgow,NSW,937.0,8
103031071,Lithgow Surrounds,NSW,882.2,4
103031073,Mudgee Surrounds - East,NSW,908.8,4
103031074,Mudgee Surrounds - West,NSW,953.4,14
103041076,Blayney,NSW,960.2,8
103041077,Orange,NSW,1002.0,23
103041079,Orange Surrounds,NSW,947.9,6
104011080,Grafton,NSW,941.1,18
104011081,Grafton Surrounds,NSW,957.4,3
104011082,Maclean - Yamba - Iluka,NSW,975.8,11
104021083,Bellingen,NSW,1014.2,7
104021084,Coffs Harbour - North,NSW,1000.1,24
104021087,Dorrigo,NSW,951.1,6
104021089,Sawtell - Boambee,NSW,968.3,6
104021090,Urunga,NSW,974.0,1
104021091,Woolgoolga - Arrawarra,NSW,985.8,6
105011092,Bourke - Brewarrina,NSW,743.5,10
105011093,Cobar,NSW,874.0,3
105011094,Coonamble,NSW,779.1,4
105011095,Nyngan - Warren,NSW,868.9,11
105011096,Walgett - Lightning Ridge,NSW,770.6,8
105021097,Broken Hill,NSW,905.5,10
105021098,Far West,NSW,738.0,5
105031099,Coonabarabran,NSW,888.6,9
105031101,Dubbo - South,NSW,939.8,23
105031103,Dubbo Surrounds,NSW,879.0,1
105031104,Gilgandra,NSW,882.9,4
105031105,Narromine,NSW,861.6,6
105031106,Wellington,NSW,845.6,9
106011107,Branxton - Greta - Pokolbin,NSW,963.2,4
106011108,Cessnock,NSW,937.0,16
106011110,Dungog,NSW,948.0,6
106011111,Kurri Kurri - Abermain,NSW,949.8,18
106011112,Singleton,NSW,938.5,10
106021614,East Maitland - Metford,NSW,1010.2,14
106021615,Rutherford (North) - Aberglasslyn,NSW,965.5,11
106021618,Thornton - Millers Forest,NSW,978.3,11
106031119,Anna Bay,NSW,963.5,2
106031120,Lemon Tree Passage - Tanilba Bay,NSW,901.0,1
106031121,Nelson Bay Peninsula,NSW,1005.5,7
106031122,Raymond Terrace,NSW,914.8,11
106031125,Williamtown - Medowie - Karuah,NSW,1006.2,5
106041126,Muswellbrook,NSW,887.2,7
106041127,Muswellbrook Surrounds,NSW,967.0,3
106041128,Scone,NSW,974.4,6
